block	pop	Singletons	Doubletons	MAC=3-5	MAC=6-10	MAC=11-20	MAC=21-MAF005	MAF005-MAF01	rep	data
10	EAS	8	4	18	16	13	24	2	66	Original HAPGEN2
10	EAS	11	6	15	12	19	25	2	67	Original HAPGEN2
10	EAS	14	9	12	4	13	27	4	68	Original HAPGEN2
10	EAS	9	10	9	12	16	26	1	69	Original HAPGEN2
10	EAS	10	5	10	9	15	28	2	70	Original HAPGEN2
10	EAS	15	13	5	8	23	21	7	71	Original HAPGEN2
10	EAS	10	5	15	11	12	25	3	72	Original HAPGEN2
10	EAS	15	4	23	11	16	26	4	73	Original HAPGEN2
10	EAS	10	6	10	16	10	28	2	74	Original HAPGEN2
10	EAS	10	8	12	10	10	32	2	75	Original HAPGEN2
10	EAS	14	5	13	12	19	26	3	76	Original HAPGEN2
10	EAS	11	9	8	15	15	22	4	77	Original HAPGEN2
10	EAS	8	11	6	16	25	21	1	78	Original HAPGEN2
10	EAS	10	6	14	9	22	27	3	79	Original HAPGEN2
10	EAS	7	5	16	14	17	23	5	80	Original HAPGEN2
10	EAS	5	10	13	13	12	30	4	81	Original HAPGEN2
10	EAS	14	7	12	12	9	30	3	82	Original HAPGEN2
10	EAS	11	7	11	9	11	38	2	83	Original HAPGEN2
10	EAS	9	8	5	15	14	31	2	84	Original HAPGEN2
10	EAS	9	5	8	9	16	30	4	85	Original HAPGEN2
10	EAS	16	7	12	11	14	15	6	86	Original HAPGEN2
10	EAS	9	5	11	13	16	28	3	87	Original HAPGEN2
10	EAS	18	9	12	13	13	27	4	88	Original HAPGEN2
10	EAS	12	5	13	8	14	29	2	89	Original HAPGEN2
10	EAS	10	5	13	8	15	35	0	90	Original HAPGEN2
10	EAS	15	4	13	9	16	29	2	91	Original HAPGEN2
10	EAS	10	8	9	12	17	22	4	92	Original HAPGEN2
10	EAS	12	4	12	17	14	24	5	93	Original HAPGEN2
10	EAS	16	4	12	10	21	23	2	94	Original HAPGEN2
10	EAS	6	16	12	14	18	27	1	95	Original HAPGEN2
10	EAS	7	5	12	17	14	31	3	96	Original HAPGEN2
10	EAS	9	6	13	16	17	24	3	97	Original HAPGEN2
10	EAS	11	6	10	14	5	34	1	98	Original HAPGEN2
10	EAS	11	9	9	12	18	23	7	99	Original HAPGEN2
10	EAS	16	6	9	14	10	26	8	100	Original HAPGEN2
100	EAS	34	15	24	32	33	75	10	1	Original HAPGEN2
100	EAS	18	13	20	35	39	65	9	2	Original HAPGEN2
100	EAS	30	21	34	30	30	73	8	3	Original HAPGEN2
100	EAS	25	16	36	40	34	60	12	4	Original HAPGEN2
100	EAS	34	17	41	25	34	47	11	5	Original HAPGEN2
100	EAS	27	17	32	30	34	65	10	6	Original HAPGEN2
100	EAS	33	14	24	22	50	57	12	7	Original HAPGEN2
100	EAS	28	21	27	38	33	62	10	8	Original HAPGEN2
100	EAS	21	18	25	31	29	77	4	9	Original HAPGEN2
100	EAS	31	13	29	33	43	66	6	10	Original HAPGEN2
100	EAS	32	25	41	27	30	64	7	11	Original HAPGEN2
100	EAS	25	13	36	26	26	72	12	12	Original HAPGEN2
100	EAS	33	22	31	27	27	80	3	13	Original HAPGEN2
100	EAS	41	13	34	28	36	64	4	14	Original HAPGEN2
100	EAS	31	23	33	29	31	57	9	15	Original HAPGEN2
100	EAS	29	15	20	38	36	62	11	16	Original HAPGEN2
100	EAS	25	18	32	31	50	51	17	17	Original HAPGEN2
100	EAS	33	20	27	22	32	67	10	18	Original HAPGEN2
100	EAS	34	18	35	27	44	60	10	19	Original HAPGEN2
100	EAS	23	10	31	30	35	65	9	20	Original HAPGEN2
