pop	N	Fitted_singletons	Fitted_doubletons	Fitted_MAC3_5	Fitted_MAC6_10	Fitted_MAC11_20	Fitted_MAC21_MAF005	Fitted_MAF005_MAF01	block
NFE	56885	1179.19274374045	387.449769555399	387.003743207483	179.670238842924	106.779576361939	126.401631539878	3.1788032291565	41
SAS	15308	640.740663922144	174.46304862757	164.558860865865	75.9803942300573	46.6304479055947	53.202024387597	5.73913215061315	41
AFR	8128	693.30746514161	169.212251320209	168.111762949481	88.0086114669518	62.4676704118782	75.0152354861152	21.2602135241839	42
EAS	9197	701.877637283494	177.238666177789	164.087731395897	75.776488047625	47.0721882061532	48.0624132151048	9.35956489169362	42
NFE	56885	2428.24003192188	733.068415095692	689.378814899774	300.182889103848	169.227485219675	181.851055559734	3.75719998295448	42
SAS	15308	1259.7667325711	292.211866065123	262.140204318751	118.684029198186	73.0870918230131	85.5886001092917	9.69781365441414	42
AFR	8128	313.358523771386	86.2289154743418	83.8960925739007	40.6689171823325	26.2443797509554	26.9472274040854	6.30045187219436	43
EAS	9197	319.651361070268	62.0019046589242	58.4607029867238	30.0789326508963	21.43589707727	27.7251101476316	7.27999039818451	43
NFE	56885	1166.1634044931	304.528037853144	272.923953996624	117.427184419577	67.2817870199993	77.272326294827	1.89835924928221	43
SAS	15308	553.318251946217	127.27304786393	115.401395693172	53.3247151755593	33.5710572681551	40.9705523417416	4.92575847229098	43
AFR	8128	539.439939713887	111.321511749823	108.941343941867	58.2937227205089	42.9420203735065	55.1125575911021	16.9411803391164	44
EAS	9197	571.286983741708	117.678685979173	104.387191718199	48.2758160035778	30.8086322470282	33.3869564288027	7.07001959579515	44
NFE	56885	1747.44888114807	523.214547399089	485.641771361297	207.272729951004	114.448518920834	117.769376178077	2.20643135593123	44
SAS	15308	877.514363097725	219.515424110746	200.746633783739	91.1517075687192	55.7042441751252	63.7660955572981	6.95684509527388	44
AFR	8128	764.942328077718	198.308777181952	178.053901241307	77.1194521335102	44.5616775936488	38.8624468561522	7.42789893968071	45
EAS	9197	735.96759724988	162.143562273827	144.182092813018	65.5260088651541	40.7746907997442	42.2589858012762	8.44115802399395	45
