block	pop	downsample	exp_all	obs_all	exp_syn	obs_syn	exp_mis	obs_mis	exp_lof	obs_lof
2	nfe	3070	300.4688	249	99.4856	93	193.297	151	7.6862	5
2	nfe	5000	433.3209	384	143.1269	142	278.964	236	11.23	6
2	nfe	5040	435.7368	386	143.9131	142	280.527	238	11.2967	6
2	nfe	8128	611.4057	552	201.1425	212	394.117	331	16.1462	9
2	nfe	9197	664.9028	592	218.4803	228	428.767	355	17.6555	9
2	nfe	10000	703.7353	629	231.067	244	453.911	376	18.7573	9
2	nfe	10824	742.0887	669	243.441	260	478.787	399	19.8607	10
2	nfe	15000	914.9659	873	298.924	318	591.092	543	24.9499	12
2	nfe	15308	926.2473	885	302.516	323	598.439	550	25.2923	12
2	nfe	17296	999.9802	963	326.004	351	646.45	597	27.5262	15
2	nfe	20000	1094.1092	1059	355.858	377	707.824	664	30.4272	18
2	nfe	25000	1248.0619	1204	404.373	437	808.385	745	35.3039	22
2	nfe	30000	1384.8802	1339	447.143	490	897.977	822	39.7602	27
2	nfe	35000	1510.2257	1481	486.123	536	980.178	915	43.9247	30
2	nfe	40000	1622.6284	1587	520.819	580	1054.054	977	47.7554	30
2	nfe	45000	1728.2386	1684	553.219	619	1123.593	1032	51.4266	33
2	nfe	50000	1826.8514	1790	583.319	648	1188.624	1104	54.9084	38
2	nfe	55000	1919.2188	1900	611.359	687	1249.649	1170	58.2108	43
2	nfe	56885	1951.6353	1938	621.161	699	1271.084	1195	59.3903	44
2	sas	10	3.2293791	4	1.08483	0	2.06629	4	0.0782591	0
2	sas	20	6.4337005	6	2.146114	0	4.12646	6	0.1611265	0
2	sas	50	15.691114	12	5.2269	2	10.06985	10	0.394364	0
2	sas	100	29.379116	27	9.76481	5	18.8708	22	0.743506	0
2	sas	200	53.390412	53	17.7419	13	34.2978	40	1.350712	0
2	sas	500	108.33939	92	35.9804	27	69.6126	65	2.74639	0
2	sas	1000	178.8301	158	59.4063	55	114.8918	102	4.532	1
2	sas	2000	287.43281	261	95.3177	95	184.775	165	7.34011	1
2	sas	3070	381.50709	362	126.3446	138	245.356	222	9.80649	2
2	sas	5000	519.43114	489	171.5636	187	334.347	297	13.52054	5
2	sas	5040	522.08369	492	172.4263	187	336.064	300	13.59339	5
2	sas	8128	698.0435	659	229.672	246	449.872	408	18.4995	5
2	sas	9197	750.8282	724	246.77	269	484.062	448	19.9962	7
2	sas	10000	788.4019	755	258.903	284	508.418	464	21.0809	7
2	sas	10824	825.6121	791	270.87	293	532.574	491	22.1681	7
2	sas	15000	993.0578	962	324.556	361	641.366	592	27.1358	9
2	sas	15308	1004.4272	973	328.185	366	648.763	598	27.4792	9
3	afr	10	18.790198	6	6.09197	4	12.10808	1	0.590148	1
3	afr	20	36.169214	19	11.69395	12	23.31979	6	1.155474	1
3	afr	50	78.301058	42	25.28287	19	50.49807	21	2.520118	2
3	afr	100	130.313209	91	42.07332	48	84.053	40	4.186889	3
3	afr	200	210.39001	148	67.9085	76	135.7458	67	6.73571	5
3	afr	500	374.07169	267	120.8144	125	241.3044	136	11.95289	6
3	afr	1000	565.22897	418	182.435	181	364.6801	227	18.11387	10
3	afr	2000	850.03148	696	274.1143	280	548.528	403	27.38918	13
3	afr	3070	1091.50311	917	351.5548	362	704.529	539	35.41931	16
3	afr	5000	1440.6849	1229	463.1782	473	930.233	734	47.2737	22
3	afr	5040	1447.1004	1232	465.2092	474	934.392	736	47.4992	22
3	afr	8128	1883.199	1650	603.567	629	1216.781	991	62.851	30
3	eas	10	9.5329364	3	3.078316	1	6.16032	2	0.2943004	0
3	eas	20	18.355108	12	5.92849	5	11.85083	6	0.575788	1
3	eas	50	43.235326	29	14.01611	11	27.87413	17	1.345086	1
3	eas	100	78.514224	56	25.44209	28	50.61271	27	2.459424	1
