block	Singletons	Doubletons	MAC.3.5	MAC.6.10	MAC.11.20	MAC.21.MAF0.005	MAF0.005.MAF0.01	Total	pop	N_bp	Zeros	per_rv	alpha	beta	b	N	Fitted_singletons	Fitted_doubletons	Fitted_MAC3_5	Fitted_MAC6_10	Fitted_MAC11_20	Fitted_MAC21_MAF005	Fitted_MAF005_MAF01	bias_singletons	bias_doubletons	bias_MAC3_5	bias_MAC6_10	bias_MAC11_20	bias_21.MAF005	bias_MAF005_MAF01	check
26	0.4925	0.1275	0.111666666666667	0.0591666666666667	0.0425	0.0491666666666667	0.0291666666666667	1200	AFR	23505	0	0.911666666666667	-0.350015815005595	1.51759634879433	0.257313438456035	8128	0.494766756239087	0.120341645586129	0.119679883927801	0.0628166237885036	0.0447197855500863	0.0539611322206544	0.0153808393544061	-0.00226675623908718	0.00715835441387054	-0.00801321726113402	-0.00364995712183696	-0.00221978555008634	-0.00479446555398774	0.0137858273122606	-1.12236608895699e-15
27	0.504854368932039	0.142394822006472	0.0916936353829558	0.0517799352750809	0.0345199568500539	0.0571736785329018	0.0269687162891046	927	AFR	19620	0	0.909385113268608	-0.386312653853725	1.51520409018826	0.242527977763057	8128	0.508235694463976	0.117455416864313	0.115096465092694	0.0599568487282368	0.0425873462430418	0.0513842937298948	0.0146690481464492	-0.00338132553193748	0.0249394051421594	-0.0234028297097382	-0.0081769134531559	-0.00806738939298788	0.00578938480300703	0.0122996681426554	2.45983788893511e-15
28	0.485467399842891	0.122937941869599	0.104477611940299	0.0522388059701493	0.0443833464257659	0.0616653574234093	0.0176747839748625	2546	AFR	47499	0	0.888845247446976	-0.424288142085282	1.45899251689755	0.217276740518253	8128	0.486263972032406	0.11191699979338	0.112125852050472	0.060443621361324	0.0444344185764612	0.0565143856176475	0.0171459980152868	-0.000796572189514733	0.0110209420762195	-0.00764824011017398	-0.00820481539117475	-5.10721506953374e-05	0.00515097180576177	0.000528785959575732	-1.82145964977565e-15
29	0.459958932238193	0.143737166324435	0.125256673511294	0.0616016427104723	0.0246406570841889	0.053388090349076	0.0102669404517454	487	AFR	10443	0	0.878850102669404	-0.0475178016928389	1.73019870286199	0.423708203599958	8128	0.460944559069958	0.133135378940688	0.130992839810966	0.0633653694966945	0.0404741954008029	0.0406924216897421	0.00924533826055452	-0.00098562683176473	0.0106017873837472	-0.00573616629967225	-0.00176372678622223	-0.015833538316614	0.0126956686593339	0.00102160219119086	-1.23685783837146e-15
30	0.538284839203675	0.145482388973966	0.111026033690658	0.060490045941807	0.0252679938744257	0.0451761102603369	0.0107197549770291	1306	AFR	27474	0	0.936447166921899	-0.202825416394544	1.72014756930932	0.365522919415205	8128	0.539830251704349	0.133346549749322	0.123759726458475	0.0578861803868313	0.036556413745383	0.0366846917023779	0.00838335317516326	-0.00154541250067364	0.0121358392246444	-0.0127336927678164	0.00260386555497569	-0.0112884198709573	0.00849141855795901	0.00233640180186584	-2.45289899503121e-15
31	0.538194444444444	0.140432098765432	0.120756172839506	0.0513117283950617	0.0393518518518519	0.0435956790123457	0.0135030864197531	2592	AFR	57595	0	0.947145061728395	-0.226803187828321	1.68251903406658	0.349922077871667	8128	0.539418023871228	0.133485181104213	0.125593184206174	0.0600373061394371	0.0387720276246122	0.0402519143588958	0.00958742442383517	-0.00122357942678364	0.00694691766121902	-0.00483701136666738	-0.00872557774437541	0.00057982422723965	0.00334376465344988	0.00391566199591791	3.12250225675825e-17
32	0.525399129172714	0.153120464441219	0.118287373004354	0.0522496371552975	0.0268505079825835	0.0500725689404935	0.0203193033381713	1378	AFR	26001	0	0.946298984034833	-0.160625584655363	1.71572572958587	0.391190059401821	8128	0.528273621250071	0.137494852314286	0.130331292189901	0.0618632088151002	0.0393772368527552	0.0398037572415887	0.00915501537113455	-0.00287449207735668	0.0156256121269333	-0.0120439191855468	-0.00961357165980264	-0.0125267288701717	0.0102688116989048	0.0111642879670367	-3.08433834028676e-15
33	0.527744025921426	0.140137707573917	0.113001215066829	0.0510328068043742	0.0311867152693398	0.0453624949372215	0.0153908464965573	2469	AFR	58758	0	0.923855812069664	-0.235664427347417	1.68237516545852	0.336865303834919	8128	0.529439403138619	0.129602748287458	0.121474122247385	0.0579353993208744	0.0373798413574108	0.0387870913731208	0.00923720634479597	-0.00169537721719382	0.0105349592864582	-0.00847290718055597	-0.00690259251650012	-0.00619312608807097	0.00657540356410075	0.00615364015176134	-5.95010152260045e-16
34	0.572249589490969	0.138752052545156	0.103448275862069	0.0517241379310345	0.0303776683087028	0.0410509031198686	0.0147783251231527	1218	AFR	31911	0	0.952380952380952	-0.313482196560784	1.67392951808905	0.305902163742212	8128	0.574137502082831	0.127530989884186	0.115990200722368	0.0544943521420937	0.035040460336701	0.0364480215147324	0.00873942569803918	-0.00188791259186205	0.0112210626609704	-0.012541924860299	-0.00277021421105923	-0.00466279202799822	0.00460288160513624	0.00603889942511353	1.62717062046625e-15
35	0.5	0.118243243243243	0.138513513513514	0.0540540540540541	0.0405405405405405	0.0641891891891892	0.0101351351351351	296	AFR	5943	0	0.925675675675676	-0.324744369744822	1.53047752281215	0.27299305177195	8128	0.497905196480308	0.123936871098688	0.12354847128808	0.0646232319840506	0.0457294295231703	0.0545826554694427	0.0153498198319362	0.00209480351969182	-0.00569362785544508	0.0149650422254331	-0.0105691779299966	-0.00518888898262979	0.00960653371974649	-0.00521468469680106	-1.08767161943746e-15
36	0.516511430990686	0.160033869602032	0.122777307366638	0.052497883149873	0.0262489415749365	0.0389500423370025	0.0211685012701101	1181	AFR	25500	0	0.938187976291279	0.0256093321280587	1.8669302379907	0.545753780674048	8128	0.520588047303381	0.1461095715389	0.136401089199674	0.0609569578781924	0.0359152034784089	0.0319739603566883	0.00624314653603157	-0.00407661631269529	0.013924298063132	-0.0136237818330355	-0.00845907472831938	-0.00966626190347242	0.00697608198031424	0.0149253547340785	2.18054740930285e-15
37	0.502579979360165	0.163054695562436	0.0825593395252838	0.0588235294117647	0.0371517027863777	0.0567595459236326	0.0175438596491228	969	AFR	19029	0	0.918472652218782	-0.284647353737335	1.59462154334773	0.297495036311924	8128	0.507533795484685	0.125827253372637	0.122269621319246	0.0615231007902051	0.0418724368602999	0.04709594476105	0.0123504996306581	-0.00495381612452017	0.0372274421897985	-0.0397102817939625	-0.00269957137844039	-0.00472073407392221	0.00966360116258261	0.00519336001846471	5.10008701937181e-16
38	0.529069767441861	0.126614987080103	0.116279069767442	0.0348837209302326	0.0419896640826873	0.0542635658914729	0.0251937984496124	1548	AFR	32334	0	0.928294573643411	-0.399617076654018	1.52585345494372	0.243447404776563	8128	0.530262659478623	0.118792601313463	0.114832031987454	0.0591156992975826	0.0416260584494112	0.0496603231269729	0.0140051999899024	-0.00119289203676287	0.00782238576664031	0.00144703777998779	-0.0242319783673501	0.000363605633276178	0.00460324276449997	0.01118859845971	1.32012456521835e-15
39	0.45	0.136363636363636	0.117272727272727	0.0663636363636364	0.0354545454545455	0.05	0.0245454545454545	1100	AFR	17358	0	0.88	-0.175800536968385	1.60552889387557	0.331690357447232	8128	0.452423724952596	0.12634954650831	0.127646304071894	0.0655047640203526	0.0447901247002068	0.0502270549509111	0.0130584807957267	-0.00242372495259574	0.0100140898553265	-0.0103735767991665	0.000858872343283787	-0.00933557924566138	-0.000227054950911097	0.0114869737497278	3.44516082328994e-15
40	0.572916666666667	0.162202380952381	0.110119047619048	0.0342261904761905	0.0238095238095238	0.0461309523809524	0.0133928571428571	672	AFR	16486	0	0.962797619047619	-0.0822702304561786	1.88946636602753	0.490471166265616	8128	0.576849572875303	0.143316495974275	0.126199168764813	0.0538540245696018	0.0308496702417011	0.0266736786448318	0.0050550079770925	-0.00393290620863596	0.0188858849781059	-0.0160801211457654	-0.0196278340934113	-0.00704014643217724	0.0194572737361206	0.00833784916576464	1.23165366794353e-15
41	0.503657262277952	0.136886102403344	0.114942528735632	0.0480668756530825	0.0459770114942529	0.0616509926854754	0.0167189132706374	957	AFR	15855	0	0.927899686520376	-0.340571709072228	1.52846586611998	0.267144231808316	8128	0.504826320323226	0.123181860000325	0.122106861634522	0.0637088228498334	0.0450672620357002	0.0538409246388963	0.0151676350378737	-0.0011690580452739	0.0137042424030188	-0.00716433289889024	-0.0156419471967508	0.000909749458552711	0.00781006804657914	0.00155127823276371	-6.1409211049579e-16
42	0.499080318822808	0.128755364806867	0.120171673819742	0.0539546290619252	0.0392397302268547	0.0606989576946659	0.0183936235438381	1631	AFR	33048	0	0.920294297976701	-0.344063276250457	1.52292840212648	0.26279993932469	8128	0.499495297706662	0.121909438594518	0.121116588677278	0.0634060496903147	0.0450050074436305	0.0540449357111987	0.015316980153099	-0.000414978883854389	0.0068459262123494	-0.000944914857535561	-0.0094514206283895	-0.00576527721677585	0.00665402198346715	0.00307664339073914	3.92047505570758e-16
43	0.503649635036496	0.147445255474453	0.128467153284672	0.0583941605839416	0.0467153284671533	0.0467153284671533	0.00875912408759124	685	AFR	15918	0	0.94014598540146	-0.118076884349786	1.70242315334336	0.407557049380164	8128	0.504764037118736	0.138899223060399	0.135141466319214	0.0655102869873688	0.042274960053214	0.0434071207954959	0.01014889106703	-0.00111440208223956	0.00854603241405333	-0.00667431303454277	-0.00711612640342715	0.00444036841393926	0.00330820767165738	-0.00138976697943876	1.72258041164497e-15
44	0.537261698440208	0.105719237435009	0.116984402079723	0.0528596187175043	0.0424610051993068	0.0554592720970537	0.0173310225303293	1154	AFR	23379	0	0.928076256499134	-0.494958891140718	1.44523985320094	0.199933090026807	8128	0.536597582320336	0.110734948726419	0.108367322235983	0.0579865678704989	0.04271575501917	0.0548221645852938	0.016851915741434	0.000664116119871938	-0.00501571129140992	0.00861707984373992	-0.00512694915299455	-0.000254749819863218	0.000637107511759924	0.000479106788895289	-6.10622663543836e-16
45	0.545938748335553	0.153794940079893	0.117177097203728	0.0466045272969374	0.0219707057256991	0.0386151797603196	0.0153129161118509	1502	AFR	32412	0	0.939414114513981	-0.045735629071716	1.88326132717768	0.502533795428076	8128	0.548850933818452	0.142287795492017	0.127754794550186	0.055333692182274	0.0319732840791444	0.0278840501624091	0.0053295642294992	-0.00291218548289962	0.0115071445878769	-0.0105776973464574	-0.00872916488533661	-0.0100025783534453	0.0107311295979105	0.00998335188235167	1.6306400674182e-16
46	0.551724137931034	0.143509127789047	0.107505070993915	0.0532454361054767	0.0385395537525355	0.0456389452332657	0.0141987829614604	1972	AFR	44412	0	0.954361054766734	-0.293396860408032	1.64444771057969	0.312830269756521	8128	0.553772862802428	0.129890965440818	0.121616902063477	0.0587707720595687	0.0386398624979508	0.0414021106869676	0.0102675792155252	-0.00204872487139329	0.0136181623482282	-0.0141118310695624	-0.00552533595409203	-0.000100308745415306	0.00423683454629812	0.00393120374593525	-1.55431223447522e-15
47	0.501480750246792	0.135241855873643	0.0908193484698914	0.0562685093780849	0.0325765054294176	0.0730503455083909	0.016781836130306	1013	AFR	22293	0	0.906219151036525	-0.465555673781929	1.43372984823842	0.20469692211369	8128	0.502603677181365	0.110791800182338	0.11088486723404	0.0603394942153044	0.0449403519157445	0.0584484681372373	0.0182104921704957	-0.00112292693457283	0.0244500556913042	-0.0200655187641488	-0.00407098483721953	-0.0123638464863269	0.0146018773711536	-0.00142865604018968	1.04083408558608e-16
