block	pop	downsample	exp_all	obs_all	N_bp	per_kb
15	sas	1000	301.786869	265	20241	13.0922385257645
15	sas	2000	485.110954	416	20241	20.5523442517662
15	sas	3070	643.968339	573	20241	28.3088780198607
15	sas	5000	877.22934	786	20241	38.8320735141544
15	sas	5040	881.72932	790	20241	39.029692208883
15	sas	8128	1180.34007	1099	20241	54.2957363766612
15	sas	9197	1269.87055	1189	20241	58.742157008053
15	sas	10000	1333.75231	1245	20241	61.5088187342523
15	sas	10824	1397.07493	1302	20241	64.3248851341337
15	sas	15000	1682.36387	1570	20241	77.5653376809446
15	sas	15308	1701.77268	1585	20241	78.3064077861766
16	sas	10	5.1332035	4	16890	0.236826524570752
16	sas	20	10.2151085	9	16890	0.532859680284192
16	sas	50	25.05822	15	16890	0.88809946714032
16	sas	100	46.887762	31	16890	1.83540556542333
16	sas	200	85.221622	63	16890	3.73001776198934
16	sas	500	172.768383	139	16890	8.22972172883363
16	sas	1000	285.387014	237	16890	14.0319715808171
16	sas	2000	458.37497	381	16890	22.5577264653641
16	sas	3070	608.0048	484	16890	28.656009473061
16	sas	5000	827.1232	676	16890	40.0236826524571
16	sas	5040	831.35015	678	16890	40.1420959147424
16	sas	8128	1110.89692	911	16890	53.9372409709888
16	sas	9197	1194.54098	975	16890	57.7264653641208
16	sas	10000	1254.0929	1018	16890	60.2723505032564
16	sas	10824	1313.07356	1069	16890	63.2918886915335
16	sas	15000	1578.25439	1282	16890	75.902901124926
16	sas	15308	1596.24531	1303	16890	77.1462403789224
18	sas	10	6.91434485247098	4.75132592897299	25321	0.187643692151692
18	sas	20	13.8197938956561	15.6026324145142	25321	0.616193373662739
18	sas	50	33.7140676535889	27.3780170298988	25321	1.0812375905335
18	sas	100	63.1535798712496	43.6549918747994	25321	1.72406270979817
18	sas	200	114.753615776209	86.3865012048226	25321	3.41165440562468
18	sas	500	232.888945049813	172.268079073102	25321	6.8033679188461
18	sas	1000	384.436308223959	307.380999978897	25321	12.1393704821649
18	sas	2000	618.371343690808	516.670460682806	25321	20.4048205316854
18	sas	3070	821.328506186897	703.159328701108	25321	27.7698088030136
18	sas	5000	1119.76888438074	961.304907246551	25321	37.9647291673532
18	sas	5040	1125.50482881673	968.107046283984	25321	38.233365439121
18	sas	8128	1507.78849498431	1330.34307127032	25321	52.5391205430402
18	sas	9197	1622.66659273966	1425.90207271949	25321	56.3130236846685
18	sas	10000	1704.65261291565	1508.01205356963	25321	59.5557858524399
18	sas	10824	1785.94053225677	1593.86525003554	25321	62.9463785014628
18	sas	15000	2152.44123885485	1884.19387187412	25321	74.4123009310106
18	sas	15308	2177.38378998791	1908.44454678719	25321	75.3700306775874
19	sas	10	4.2132134	6	16731	0.358615743231128
19	sas	20	8.4575364	8	16731	0.47815432430817
19	sas	50	20.650018	16	16731	0.956308648616341
19	sas	100	38.715759	25	16731	1.49423226346303
19	sas	200	70.346117	48	16731	2.86892594584902
19	sas	500	142.795059	114	16731	6.81369912139143
19	sas	1000	235.71842	169	16731	10.1010101010101
19	sas	2000	379.53625	262	16731	15.6595541210926
19	sas	3070	504.54039	366	16731	21.8755603370988
19	sas	5000	689.0336	509	16731	30.4225688841073
19	sas	5040	692.58801	511	16731	30.5421074651844
19	sas	8128	930.10539	690	16731	41.2408104715797
19	sas	9197	1001.64688	743	16731	44.4085828701213
19	sas	10000	1052.83543	787	16731	47.0384316538163
19	sas	10824	1103.67623	836	16731	49.9671268902038
19	sas	15000	1333.44664	1019	16731	60.9049070587532
19	sas	15308	1349.13038	1033	16731	61.7416771262925
20	sas	10	2.6840641	2	10314	0.193911188675587
20	sas	20	5.3727699	4	10314	0.387822377351173
20	sas	50	13.111777	11	10314	1.06651153771573
20	sas	100	24.502071	22	10314	2.13302307543145
20	sas	200	44.481442	37	10314	3.58735699049835
20	sas	500	90.204977	64	10314	6.20515803761877
20	sas	1000	149.04264	106	10314	10.2772929998061
20	sas	2000	239.75076	176	10314	17.0641846034516
20	sas	3070	318.62662	244	10314	23.6571650184216
20	sas	5000	434.88323	333	10314	32.2862129144852
20	sas	5040	437.07764	333	10314	32.2862129144852
20	sas	8128	586.74976	457	10314	44.3087066123715
20	sas	9197	631.6893	498	10314	48.2838859802211
20	sas	10000	663.97193	526	10314	50.9986426216793
20	sas	10824	695.89462	556	10314	53.9073104518131
20	sas	15000	840.47357	665	10314	64.4754702346325
20	sas	15308	850.31546	671	10314	65.0572038006593
21	sas	10	1.586773	2	6921	0.288975581563358
21	sas	20	3.20907	3	6921	0.433463372345037
21	sas	50	7.829612	4	6921	0.577951163126716
21	sas	100	14.70624	8	6921	1.15590232625343
21	sas	200	26.71887	14	6921	2.02282907094351
21	sas	500	54.27626	32	6921	4.62360930501373
21	sas	1000	89.57007	55	6921	7.94682849299234
21	sas	2000	144.4884	94	6921	13.5818523334778
21	sas	3070	192.3832	132	6921	19.0723883831816
21	sas	5000	263.516	187	6921	27.019216876174
21	sas	5040	264.8903	187	6921	27.019216876174
21	sas	8128	357.1666	254	6921	36.6998988585465
21	sas	9197	385.0835	274	6921	39.58965467418
21	sas	10000	405.1342	289	6921	41.7569715359052
21	sas	10824	425.1046	302	6921	43.635312816067
21	sas	15000	515.6857	390	6921	56.3502384048548
21	sas	15308	521.8936	398	6921	57.5061407311082
22	sas	10	1.527859577	0	8175	0
22	sas	20	3.05644162	2	8175	0.244648318042813
22	sas	50	7.52628469	6	8175	0.73394495412844
22	sas	100	14.07257041	10	8175	1.22324159021407
22	sas	200	25.56469114	23	8175	2.81345565749235
22	sas	500	51.7938797	46	8175	5.62691131498471
22	sas	1000	85.6329864	79	8175	9.66360856269113
22	sas	2000	137.6505903	110	8175	13.4556574923547
22	sas	3070	182.7745748	132	8175	16.1467889908257
22	sas	5000	249.1856565	189	8175	23.1192660550459
22	sas	5040	250.4648848	189	8175	23.1192660550459
22	sas	8128	335.925128	251	8175	30.7033639143731
22	sas	9197	361.528247	274	8175	33.5168195718654
22	sas	10000	379.878151	284	8175	34.7400611620795
22	sas	10824	398.066395	304	8175	37.1865443425076
22	sas	15000	480.245425	363	8175	44.4036697247706
22	sas	15308	485.834184	366	8175	44.7706422018349
24	sas	10	1.47426477962489	0	6033	0
24	sas	20	2.95830604092072	1.12872975277067	6033	0.187092616073375
24	sas	50	7.19076558056266	3.25745950554135	6033	0.539940246235927
24	sas	100	13.4832668337596	7.38618925831202	6033	1.22429790457683
24	sas	200	24.4951469991475	10.6436487638534	6033	1.76423815081276
24	sas	500	49.7523410315431	28.9309462915601	6033	4.79544941017074
24	sas	1000	82.0877553537937	61.2480818414322	6033	10.1521766685616
24	sas	2000	132.203422105712	105.852514919011	6033	17.5455851017754
24	sas	3070	175.787509215686	144.684569479966	6033	23.9821928526382
24	sas	5000	240.110474936061	195.447570332481	6033	32.3964147741556
24	sas	5040	241.34323998295	196.576300085251	6033	32.5835073902289
24	sas	8128	324.04682625746	266.012787723785	6033	44.092953377057
24	sas	9197	348.984917220801	285.428815004263	6033	47.3112572524885
24	sas	10000	366.823577578858	298.587382779199	6033	49.4923558394164
24	sas	10824	384.515259931799	321.647058823529	6033	53.3146127670361
24	sas	15000	464.519030434783	375.895140664962	6033	62.3065043369736
24	sas	15308	469.98437084399	378.152600170503	6033	62.6806895691203
25	sas	10	6.39314742268965	8	22178	0.360717828478673
25	sas	20	12.7432323872389	11.8146167557932	22178	0.532717862557183
25	sas	50	31.2037397668469	18.8146167557932	22178	0.848345962476021
25	sas	100	58.3572400251505	35.7893820140092	22178	1.61373352033588
25	sas	200	106.026395612544	63.3815952779466	22178	2.85785892677187
25	sas	500	214.962134566736	121.682152499228	22178	5.48661522676653
25	sas	1000	355.118883935536	214.810775712221	22178	9.68575956859144
25	sas	2000	570.615012670011	376.7053710544	22178	16.9855429278745
25	sas	3070	757.32344091428	518.728853490427	22178	23.3893432000373
25	sas	5000	1031.24693692288	725.509060629551	22178	32.7130066114866
25	sas	5040	1036.50465031827	731.509060629551	22178	32.9835449828457
25	sas	8128	1386.91523306098	979.761841364853	22178	44.1771954804244
25	sas	9197	1491.86728434724	1055.3461827177	22178	47.5852729153981
25	sas	10000	1566.79747861509	1106.33989217006	22178	49.8845654328641
25	sas	10824	1640.95728317876	1150.74138835847	22178	51.88661684365
25	sas	15000	1975.20274449767	1405.50438758472	22178	63.3738113258508
25	sas	15308	1997.88058117561	1418.45391810115	22178	63.957702141814
26	sas	10	5.77553344829146	3.69472361809045	23505	0.157188837187426
26	sas	20	11.5698078042714	10.6947236180905	23505	0.454997814000872
26	sas	50	28.1604438796482	20.6947236180905	23505	0.880439209448649
26	sas	100	52.7009186567839	30.6947236180905	23505	1.30588060489643
26	sas	200	95.7013318643216	58.0841708542714	23505	2.47114107016683
26	sas	500	194.22834731407	126.726130653266	23505	5.39145418648228
26	sas	1000	320.68813060804	234.97864321608	23505	9.99696418702744
26	sas	2000	516.12029821608	385.483668341709	23505	16.4000709781625
26	sas	3070	686.069852135678	524.293969849246	23505	22.3056358157518
26	sas	5000	936.650850527638	709.356783919598	23505	30.1789740021101
26	sas	5040	941.421623819095	711.051507537688	23505	30.251074560208
26	sas	8128	1263.65276208543	1022.92462311558	23505	43.5194479096184
26	sas	9197	1360.60488572864	1125.56658291457	23505	47.8862617704561
26	sas	10000	1430.08567349246	1183.1243718593	23505	50.3350083752095
26	sas	10824	1498.89285477387	1250.29271356784	23505	53.192627677849
26	sas	15000	1810.19777027638	1516.82914572864	23505	64.5321908414652
26	sas	15308	1831.40605447236	1536.91331658291	23505	65.3866546089304
27	sas	10	5.1440183	2	19620	0.101936799184506
27	sas	20	10.287948	9	19620	0.458715596330275
27	sas	50	25.097193	23	19620	1.17227319062181
27	sas	100	46.975935	40	19620	2.03873598369011
27	sas	200	85.330832	65	19620	3.31294597349643
27	sas	500	173.136227	135	19620	6.88073394495413
27	sas	1000	285.88874	209	19620	10.6523955147808
27	sas	2000	459.88358	360	19620	18.348623853211
27	sas	3070	610.96712	463	19620	23.598369011213
27	sas	5000	833.33592	633	19620	32.262996941896
27	sas	5040	837.57658	634	19620	32.3139653414883
27	sas	8128	1122.94544	852	19620	43.4250764525994
27	sas	9197	1208.67784	926	19620	47.1967380224261
27	sas	10000	1269.99901	971	19620	49.4903160040775
27	sas	10824	1330.75324	1033	19620	52.6503567787971
27	sas	15000	1605.10418	1227	19620	62.5382262996942
27	sas	15308	1623.79305	1243	19620	63.3537206931702
28	sas	10	8.1909121	12	47499	0.252636897618897
28	sas	20	16.6548197	20	47499	0.421061496031495
